QuestionID,Topic,Difficulty,Question,Options,Answer,Explanation
1020,Ratios,Easy,"Ratio 9:10, total=332. Find parts.","['157.26,174.74', '154.26,177.74', '162.26,169.74', '159.26,172.74']","157.26,174.74","Parts=157.26,174.74"
1021,Ratios,Easy,"Ratio 19:9, total=489. Find parts.","['328.82,160.18', '331.82,157.18', '336.82,152.18', '333.82,155.18']","331.82,157.18","Parts=331.82,157.18"
1022,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1023,Percentages,Medium,A value changed by 12.5% then by -20%. What is the net change?,"['18.0% gain', '10.0% loss', '14.0% loss', '6.0% loss']",10.0% loss,Net change = 12.5 + -20 + (12.5*-20/100) = -10.0%
1024,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1025,Ratios,Expert,"Ratio 5:7, total=407. Find parts.","['174.58,232.42', '169.58,237.42', '171.58,235.42', '166.58,240.42']","169.58,237.42","Parts=169.58,237.42"
1026,Geometry,Expert,Hypotenuse of right triangle with legs 20 cm and 14 cm?,"[17.09, 13.43, 20.75, 24.41]",24.41,c=sqrt(20^2+14^2)=24.41
1027,Percentages,Medium,"In an election with 2 candidates, the winner got 60% of votes and won by 900 votes. Find total votes cast.","[4499, 4498, 4497, 4500]",4500,100% = 900/(0.2) = 4500
1028,Geometry,Easy,Find area of triangle with base 14 cm and height 11 cm.,"[19.25, 77.0, 57.75, 38.5]",77,Area = 0.5*14*11 = 77.0
1029,Geometry,Expert,Find area of circle radius 25 cm.,"[1963.5, 981.75, 490.88, 1472.62]",1963.5,Area=pi*r^2=1963.5
1030,Geometry,Medium,Find area of triangle with base 30 cm and height 15 cm.,"[56.25, 168.75, 225.0, 112.5]",225,Area = 0.5*30*15 = 225.0
1031,Number Theory,Medium,"gcd(25,162)?","[0, 1, -2, -1]",1,gcd=1
1032,Algebra,Hard,"Solve the system: 3x+1y=11, 7x+7y=21","['(4,0)', '(3,-2)', '(4,-1)', '(5,-1)']","(4,-1)","Solved x=4, y=-1"
1033,Algebra,Easy,Solve for x: 10x + 14 = 50,"[0.9, 1.8, 2.7, 3.6]",3.6,x = (50-14)/10 = 3.6
1034,Percentages,Medium,"If 20% of a number is 730, what is the number?","[1460.0, 2190.0, 3650.0, 2920.0]",3650,x = 730/(0.2) = 3650.0
1035,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1036,Algebra,Medium,Find the roots of x^2 + -9x + 20 = 0,"['(6,3)', '(5, 4)', '(4,5)', '(4,5)']","(5, 4)",Roots are 5 and 4
1037,Probability,Medium,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1038,Geometry,Medium,Hypotenuse of right triangle with legs 17 cm and 11 cm?,"[11.14, 14.18, 20.25, 17.21]",20.25,c=sqrt(17^2+11^2)=20.25
1039,Percentages,Easy,"In an election with 2 candidates, the winner got 60% of votes and won by 1500 votes. Find total votes cast.","[7498, 7497, 7499, 7500]",7500,100% = 1500/(0.2) = 7500
1040,Ratios,Expert,"Ratio 15:10, total=87. Find parts.","['57.2,29.799999999999997', '54.2,32.8', '49.2,37.8', '52.2,34.8']","52.2,34.8","Parts=52.2,34.8"
1041,Percentages,Hard,"If 30% of a number is 950, what is the number?","[2533.34, 1900.0, 3166.67, 1266.67]",3166.67,x = 950/(0.3) = 3166.67
1042,Number Theory,Expert,"lcm(17,26)?","[440, 442, 439, 441]",442,LCM=442
1043,Number Theory,Medium,"lcm(10,21)?","[207, 209, 208, 210]",210,LCM=210
1044,Algebra,Easy,Find the roots of x^2 + -7x + 10 = 0,"['(6,1)', '(2,5)', '(5, 2)', '(4,3)']","(5, 2)",Roots are 5 and 2
1045,Percentages,Hard,What is 40% of 900?,"[90.0, 180.0, 360.0, 270.0]",360,40% = 40/100. So 40/100 × 900 = 360.0
1046,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1047,Number Theory,Hard,Is 30 prime?,"['Yes', 'No']",No,30 is No
1048,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1049,Ratios,Expert,"Ratio 6:19, total=486. Find parts.","['121.64,364.36', '113.64,372.36', '116.64,369.36', '118.64,367.36']","116.64,369.36","Parts=116.64,369.36"
1050,Algebra,Easy,Solve for x: 4x + 2 = 31,"[7.25, 3.62, 1.81, 5.44]",7.25,x = (31-2)/4 = 7.25
1051,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1052,Percentages,Expert,A value changed by 30% then by 15%. What is the net change?,"['45.5% loss', '57.5% gain', '49.5% gain', '49.5% loss']",49.5% gain,Net change = 30 + 15 + (30*15/100) = 49.5%
1053,Percentages,Medium,A value changed by 12.5% then by -20%. What is the net change?,"['10.0% gain', '6.0% gain', '10.0% loss', '18.0% gain']",10.0% loss,Net change = 12.5 + -20 + (12.5*-20/100) = -10.0%
1054,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1055,Percentages,Hard,What is 25% of 2600?,"[487.5, 650.0, 325.0, 162.5]",650,25% = 25/100. So 25/100 × 2600 = 650.0
1056,Percentages,Easy,"In an election with 2 candidates, the winner got 65% of votes and won by 1800 votes. Find total votes cast.","[5998, 5997, 6000, 5999]",6000,100% = 1800/(0.3) = 6000
1057,Geometry,Easy,Hypotenuse of right triangle with legs 17 cm and 14 cm?,"[22.02, 18.72, 12.11, 15.41]",22.02,c=sqrt(17^2+14^2)=22.02
1058,Ratios,Hard,"Ratio 12:3, total=430. Find parts.","['346.0,84.0', '349.0,81.0', '341.0,89.0', '344.0,86.0']","344.0,86.0","Parts=344.0,86.0"
1059,Percentages,Expert,A value changed by 12.5% then by -15%. What is the net change?,"['4.38% loss', '0.38% gain', '12.38% gain', '4.38% gain']",4.38% loss,Net change = 12.5 + -15 + (12.5*-15/100) = -4.38%
1060,Geometry,Medium,Find area of triangle with base 23 cm and height 19 cm.,"[54.62, 109.25, 163.88, 218.5]",218.5,Area = 0.5*23*19 = 218.5
1061,Ratios,Medium,"Ratio 13:5, total=476. Find parts.","['348.78,127.22', '343.78,132.22', '345.78,130.22', '340.78,135.22']","343.78,132.22","Parts=343.78,132.22"
1062,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1063,Probability,Hard,Urn has 6 red and 5 blue. Prob red?,"['7/11', '6/13', '6/11', '5/11']",06-Nov,"Favorable=6, Total=11"
1064,Number Theory,Medium,"lcm(25,18)?","[449, 448, 450, 447]",450,LCM=450
1065,Probability,Medium,Urn has 7 red and 7 blue. Prob red?,"['7/16', '6/14', '8/14', '7/14']",Jul-14,"Favorable=7, Total=14"
1066,Geometry,Expert,Find circumference of circle radius 4 cm.,"[12.56, 25.13, 6.28, 18.85]",25.13,Circumference=2*pi*r=25.13
1067,Ratios,Hard,"Ratio 9:18, total=268. Find parts.","['94.33,173.67', '89.33,178.67', '91.33,176.67', '86.33,181.67']","89.33,178.67","Parts=89.33,178.67"
1068,Number Theory,Easy,"gcd(151,47)?","[0, -2, -1, 1]",1,gcd=1
1069,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1070,Geometry,Easy,Hypotenuse of right triangle with legs 3 cm and 7 cm?,"[5.33, 6.48, 4.19, 7.62]",7.62,c=sqrt(3^2+7^2)=7.62
1071,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1072,Ratios,Hard,"Ratio 12:20, total=420. Find parts.","['157.5,262.5', '162.5,257.5', '154.5,265.5', '159.5,260.5']","157.5,262.5","Parts=157.5,262.5"
1073,Number Theory,Hard,"lcm(30,10)?","[30, 29, 27, 28]",30,LCM=30
1074,Ratios,Hard,"Ratio 5:15, total=323. Find parts.","['77.75,245.25', '85.75,237.25', '82.75,240.25', '80.75,242.25']","80.75,242.25","Parts=80.75,242.25"
1075,Percentages,Easy,"If 50% of a number is 1270, what is the number?","[1016.0, 1524.0, 2032.0, 2540.0]",2540,x = 1270/(0.5) = 2540.0
1076,Ratios,Expert,"Ratio 11:13, total=403. Find parts.","['181.71,221.29', '184.71,218.29', '189.71,213.29', '186.71,216.29']","184.71,218.29","Parts=184.71,218.29"
1077,Algebra,Medium,Solve for x: 5x + 4 = 2,"[-0.4, -0.41, -0.43, -0.42]",-0.4,x = (2-4)/5 = -0.4
1078,Probability,Medium,Urn has 3 red and 5 blue. Prob red?,"['3/10', '4/8', '2/8', '3/8']",03-Aug,"Favorable=3, Total=8"
1079,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1080,Probability,Easy,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1081,Algebra,Expert,Find the roots of x^2 + 5x + -6 = 0,"['(-6,1)', '(1, -6)', '(2,-7)', '(0,-5)']","(1, -6)",Roots are 1 and -6
1082,Algebra,Hard,"Solve the system: 7x+1y=-23, 6x+1y=-19","['(-4,5)', '(-4,6)', '(-3,5)', '(-5,4)']","(-4,5)","Solved x=-4, y=5"
1083,Ratios,Hard,"Ratio 3:17, total=254. Find parts.","['38.1,215.9', '43.1,210.9', '35.1,218.9', '40.1,213.9']","38.1,215.9","Parts=38.1,215.9"
1084,Algebra,Easy,"Solve the system: 1x+7y=34, 6x+2y=4","['(-1,6)', '(-1,5)', '(0,5)', '(-2,4)']","(-1,5)","Solved x=-1, y=5"
1085,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1086,Ratios,Expert,"Ratio 2:7, total=197. Find parts.","['43.78,153.22', '40.78,156.22', '45.78,151.22', '48.78,148.22']","43.78,153.22","Parts=43.78,153.22"
1087,Probability,Medium,Urn has 3 red and 6 blue. Prob red?,"['2/9', '3/9', '4/9', '3/11']",03-Sep,"Favorable=3, Total=9"
1088,Algebra,Hard,"Solve the system: 7x+7y=28, 6x+8y=18","['(7,-2)', '(7,-3)', '(6,-4)', '(8,-3)']","(7,-3)","Solved x=7, y=-3"
1089,Ratios,Expert,"Ratio 6:7, total=152. Find parts.","['70.15,81.85', '72.15,79.85', '67.15,84.85', '75.15,76.85']","70.15,81.85","Parts=70.15,81.85"
1090,Percentages,Expert,"In an election with 2 candidates, the winner got 62% of votes and won by 1200 votes. Find total votes cast.","[5000, 4997, 4999, 4998]",5000,100% = 1200/(0.24) = 5000
1091,Percentages,Hard,A value changed by 15% then by -20%. What is the net change?,"['8.0% gain', '4.0% gain', '8.0% loss', '16.0% loss']",8.0% loss,Net change = 15 + -20 + (15*-20/100) = -8.0%
1092,Percentages,Medium,"In an election with 2 candidates, the winner got 62% of votes and won by 1500 votes. Find total votes cast.","[6250, 6248, 6247, 6249]",6250,100% = 1500/(0.24) = 6250
1093,Algebra,Easy,"Solve the system: 1x+8y=52, 8x+2y=-18","['(-3,7)', '(-5,6)', '(-4,8)', '(-4,7)']","(-4,7)","Solved x=-4, y=7"
1094,Number Theory,Easy,"gcd(181,50)?","[0, -2, 1, -1]",1,gcd=1
1095,Ratios,Hard,"Ratio 16:18, total=305. Find parts.","['140.53,164.47', '148.53,156.47', '145.53,159.47', '143.53,161.47']","143.53,161.47","Parts=143.53,161.47"
1096,Geometry,Medium,Find area of triangle with base 16 cm and height 18 cm.,"[72.0, 108.0, 36.0, 144.0]",144,Area = 0.5*16*18 = 144.0
1097,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1098,Number Theory,Medium,"gcd(88,115)?","[0, -2, -1, 1]",1,gcd=1
1099,Algebra,Expert,Solve for x: 4x + 14 = 27,"[0.81, 2.44, 1.62, 3.25]",3.25,x = (27-14)/4 = 3.25
1100,Percentages,Expert,"If 10% of a number is 1880, what is the number?","[15040.0, 11280.0, 18800.0, 7520.0]",18800,x = 1880/(0.1) = 18800.0
1101,Geometry,Expert,Find area of triangle with base 31 cm and height 5 cm.,"[38.75, 58.12, 19.38, 77.5]",77.5,Area = 0.5*31*5 = 77.5
1102,Number Theory,Easy,Is 43 prime?,"['Yes', 'No']",Yes,43 is Yes
1103,Geometry,Expert,Find circumference of circle radius 23 cm.,"[144.51, 36.13, 72.25, 108.38]",144.51,Circumference=2*pi*r=144.51
1104,Geometry,Medium,Hypotenuse of right triangle with legs 15 cm and 18 cm?,"[12.89, 23.43, 19.92, 16.4]",23.43,c=sqrt(15^2+18^2)=23.43
1105,Ratios,Hard,"Ratio 14:8, total=204. Find parts.","['126.82,77.18', '134.82,69.18', '131.82,72.18', '129.82,74.18']","129.82,74.18","Parts=129.82,74.18"
1106,Probability,Medium,Urn has 6 red and 4 blue. Prob red?,"['6/12', '7/10', '5/10', '6/10']",06-Oct,"Favorable=6, Total=10"
1107,Number Theory,Hard,Is 20 prime?,"['Yes', 'No']",No,20 is No
1108,Percentages,Easy,A cask of 60L full of wine has 6L drawn and replaced with water. This is done 3 times. How much wine remains (to 2 decimals)?,"[36.74, 33.24, 40.24, 43.74]",43.74,Wine remaining = 60 * (1 - 6/60)^3 = 43.74L
1109,Ratios,Easy,"Ratio 13:10, total=371. Find parts.","['214.7,156.3', '211.7,159.3', '209.7,161.3', '206.7,164.3']","209.7,161.3","Parts=209.7,161.3"
1110,Ratios,Easy,"Ratio 16:11, total=343. Find parts.","['205.26,137.74', '200.26,142.74', '208.26,134.74', '203.26,139.74']","203.26,139.74","Parts=203.26,139.74"
1111,Algebra,Medium,Find the roots of x^2 + -2x + -8 = 0,"['(-2, 4)', '(-3,5)', '(-1,3)', '(4,-2)']","(-2, 4)",Roots are -2 and 4
1112,Number Theory,Medium,"gcd(103,152)?","[-2, 0, 1, -1]",1,gcd=1
1113,Percentages,Medium,"In an election with 2 candidates, the winner got 65% of votes and won by 900 votes. Find total votes cast.","[2999, 2998, 3000, 2997]",3000,100% = 900/(0.3) = 3000
1114,Algebra,Expert,Solve for x: 9x + 3 = 24,"[0.58, 1.17, 1.75, 2.33]",2.33,x = (24-3)/9 = 2.33
1115,Geometry,Expert,Hypotenuse of right triangle with legs 16 cm and 18 cm?,"[13.24, 16.86, 20.47, 24.08]",24.08,c=sqrt(16^2+18^2)=24.08
1116,Algebra,Medium,"Solve the system: 3x+8y=42, 8x+3y=57","['(7,3)', '(5,2)', '(6,4)', '(6,3)']","(6,3)","Solved x=6, y=3"
1117,Probability,Expert,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1118,Number Theory,Hard,"gcd(174,124)?","[1, 0, 2, -1]",2,gcd=2
1119,Number Theory,Hard,"gcd(153,59)?","[1, 0, -1, -2]",1,gcd=1
1120,Geometry,Hard,Find area of circle radius 17 cm.,"[680.94, 907.92, 226.98, 453.96]",907.92,Area=pi*r^2=907.92
1121,Percentages,Hard,A value changed by 12.5% then by -20%. What is the net change?,"['6.0% gain', '10.0% gain', '18.0% loss', '10.0% loss']",10.0% loss,Net change = 12.5 + -20 + (12.5*-20/100) = -10.0%
1122,Probability,Hard,Urn has 5 red and 4 blue. Prob red?,"['5/11', '4/9', '5/9', '6/9']",05-Sep,"Favorable=5, Total=9"
1123,Algebra,Expert,Find the roots of x^2 + -5x + 4 = 0,"['(4, 1)', '(3,2)', '(5,0)', '(1,4)']","(4, 1)",Roots are 4 and 1
1124,Percentages,Expert,"In an election with 2 candidates, the winner got 60% of votes and won by 1800 votes. Find total votes cast.","[8998, 8997, 9000, 8999]",9000,100% = 1800/(0.2) = 9000
1125,Ratios,Expert,"Ratio 10:4, total=493. Find parts.","['354.14,138.86', '352.14,140.86', '349.14,143.86', '357.14,135.86']","352.14,140.86","Parts=352.14,140.86"
1126,Number Theory,Hard,Is 17 prime?,"['Yes', 'No']",Yes,17 is Yes
1127,Ratios,Easy,"Ratio 8:19, total=345. Find parts.","['107.22,237.78', '104.22,240.78', '99.22,245.78', '102.22,242.78']","102.22,242.78","Parts=102.22,242.78"
1128,Probability,Easy,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1129,Percentages,Hard,"If 20% of a number is 1850, what is the number?","[7400.0, 5550.0, 3700.0, 9250.0]",9250,x = 1850/(0.2) = 9250.0
1130,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1131,Percentages,Hard,"In an election with 2 candidates, the winner got 60% of votes and won by 1800 votes. Find total votes cast.","[9000, 8998, 8999, 8997]",9000,100% = 1800/(0.2) = 9000
1132,Probability,Hard,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1133,Percentages,Medium,A value changed by 12.5% then by -20%. What is the net change?,"['10.0% gain', '10.0% loss', '6.0% gain', '18.0% loss']",10.0% loss,Net change = 12.5 + -20 + (12.5*-20/100) = -10.0%
1134,Percentages,Hard,"If 10% of a number is 1870, what is the number?","[18700.0, 14960.0, 11220.0, 7480.0]",18700,x = 1870/(0.1) = 18700.0
1135,Percentages,Hard,"If 30% of a number is 870, what is the number?","[2900.0, 1160.0, 1740.0, 2320.0]",2900,x = 870/(0.3) = 2900.0
1136,Percentages,Medium,"If 40% of a number is 1550, what is the number?","[1550.0, 3100.0, 3875.0, 2325.0]",3875,x = 1550/(0.4) = 3875.0
1137,Percentages,Hard,What is 40% of 2100?,"[630.0, 420.0, 210.0, 840.0]",840,40% = 40/100. So 40/100 × 2100 = 840.0
1138,Percentages,Expert,"If 10% of a number is 730, what is the number?","[4380.0, 5840.0, 7300.0, 2920.0]",7300,x = 730/(0.1) = 7300.0
1139,Geometry,Expert,Find area of circle radius 4 cm.,"[37.7, 12.57, 50.27, 25.14]",50.27,Area=pi*r^2=50.27
1140,Algebra,Expert,"Solve the system: 8x+1y=31, 1x+8y=-4","['(3,-2)', '(4,0)', '(4,-1)', '(5,-1)']","(4,-1)","Solved x=4, y=-1"
1141,Probability,Hard,Urn has 4 red and 8 blue. Prob red?,"['4/14', '3/12', '4/12', '5/12']",04-Dec,"Favorable=4, Total=12"
1142,Number Theory,Hard,"gcd(61,156)?","[0, 1, -1, -2]",1,gcd=1
1143,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1144,Probability,Medium,Urn has 6 red and 8 blue. Prob red?,"['5/14', '6/14', '7/14', '6/16']",Jun-14,"Favorable=6, Total=14"
1145,Ratios,Hard,"Ratio 16:10, total=175. Find parts.","['109.69,65.31', '107.69,67.31', '112.69,62.31', '104.69,70.31']","107.69,67.31","Parts=107.69,67.31"
1146,Probability,Hard,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1147,Ratios,Easy,"Ratio 17:2, total=54. Find parts.","['48.32,5.68', '45.32,8.68', '50.32,3.6799999999999997', '53.32,0.6799999999999997']","48.32,5.68","Parts=48.32,5.68"
1148,Probability,Easy,Urn has 7 red and 2 blue. Prob red?,"['8/9', '7/9', '7/11', '6/9']",07-Sep,"Favorable=7, Total=9"
1149,Ratios,Easy,"Ratio 13:14, total=473. Find parts.","['229.74,243.26', '227.74,245.26', '232.74,240.26', '224.74,248.26']","227.74,245.26","Parts=227.74,245.26"
1150,Ratios,Easy,"Ratio 5:16, total=239. Find parts.","['53.9,185.1', '56.9,182.1', '58.9,180.1', '61.9,177.1']","56.9,182.1","Parts=56.9,182.1"
1151,Algebra,Easy,Find the roots of x^2 + -9x + 20 = 0,"['(5,4)', '(3,6)', '(4, 5)', '(5,4)']","(4, 5)",Roots are 4 and 5
1152,Number Theory,Hard,Is 24 prime?,"['Yes', 'No']",No,24 is No
1153,Algebra,Expert,Find the roots of x^2 + 8x + 12 = 0,"['(-2,-6)', '(-6, -2)', '(-5,-3)', '(-7,-1)']","(-6, -2)",Roots are -6 and -2
1154,Percentages,Medium,"In an election with 2 candidates, the winner got 55% of votes and won by 1500 votes. Find total votes cast.","[14998, 14999, 14997, 15000]",15000,100% = 1500/(0.1) = 15000
1155,Ratios,Medium,"Ratio 4:20, total=115. Find parts.","['16.17,98.83', '24.17,90.83', '21.17,93.83', '19.17,95.83']","19.17,95.83","Parts=19.17,95.83"
1156,Number Theory,Medium,Is 27 prime?,"['Yes', 'No']",No,27 is No
1157,Algebra,Easy,"Solve the system: 5x+8y=65, 1x+7y=40","['(4,4)', '(5,6)', '(6,5)', '(5,5)']","(5,5)","Solved x=5, y=5"
1158,Probability,Hard,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1159,Probability,Hard,Urn has 8 red and 2 blue. Prob red?,"['8/12', '9/10', '7/10', '8/10']",08-Oct,"Favorable=8, Total=10"
1160,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1161,Percentages,Expert,"If 25% of a number is 250, what is the number?","[600.0, 1000.0, 800.0, 400.0]",1000,x = 250/(0.25) = 1000.0
1162,Ratios,Expert,"Ratio 4:9, total=150. Find parts.","['46.15,103.85', '43.15,106.85', '48.15,101.85', '51.15,98.85']","46.15,103.85","Parts=46.15,103.85"
1163,Percentages,Easy,What is 30% of 3150?,"[945.0, 472.5, 708.75, 236.25]",945,30% = 30/100. So 30/100 × 3150 = 945.0
1164,Geometry,Medium,Find area of triangle with base 34 cm and height 11 cm.,"[187.0, 93.5, 46.75, 140.25]",187,Area = 0.5*34*11 = 187.0
1165,Number Theory,Medium,"gcd(173,178)?","[0, -1, -2, 1]",1,gcd=1
1166,Number Theory,Easy,"gcd(35,28)?","[6, 4, 5, 7]",7,gcd=7
1167,Algebra,Easy,Find the roots of x^2 + 8x + 12 = 0,"['(-2,-6)', '(-5,-3)', '(-6, -2)', '(-7,-1)']","(-6, -2)",Roots are -6 and -2
1168,Ratios,Easy,"Ratio 19:3, total=200. Find parts.","['169.73,30.27', '172.73,27.27', '177.73,22.27', '174.73,25.27']","172.73,27.27","Parts=172.73,27.27"
1169,Number Theory,Expert,"gcd(173,188)?","[1, 0, -1, -2]",1,gcd=1
1170,Probability,Expert,Urn has 6 red and 2 blue. Prob red?,"['6/8', '5/8', '7/8', '6/10']",06-Aug,"Favorable=6, Total=8"
1171,Probability,Hard,Urn has 3 red and 2 blue. Prob red?,"['3/5', '3/7', '4/5', '2/5']",03-May,"Favorable=3, Total=5"
1172,Number Theory,Medium,Is 18 prime?,"['Yes', 'No']",No,18 is No
1173,Ratios,Hard,"Ratio 13:15, total=296. Find parts.","['142.43,153.57', '134.43,161.57', '137.43,158.57', '139.43,156.57']","137.43,158.57","Parts=137.43,158.57"
1174,Algebra,Easy,Solve for x: 4x + 10 = 38,"[1.75, 3.5, 5.25, 7.0]",7,x = (38-10)/4 = 7.0
1175,Geometry,Medium,Find area of triangle with base 34 cm and height 13 cm.,"[55.25, 221.0, 110.5, 165.75]",221,Area = 0.5*34*13 = 221.0
1176,Percentages,Medium,What is 50% of 1600?,"[800.0, 600.0, 400.0, 200.0]",800,50% = 50/100. So 50/100 × 1600 = 800.0
1177,Algebra,Medium,"Solve the system: 4x+2y=24, 6x+4y=38","['(5,2)', '(6,2)', '(5,3)', '(4,1)']","(5,2)","Solved x=5, y=2"
1178,Number Theory,Hard,Is 29 prime?,"['Yes', 'No']",Yes,29 is Yes
1179,Probability,Hard,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
1180,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1181,Algebra,Easy,"Solve the system: 4x+4y=0, 8x+4y=-8","['(-2,2)', '(-1,2)', '(-3,1)', '(-2,3)']","(-2,2)","Solved x=-2, y=2"
1182,Algebra,Expert,Solve for x: 2x + 12 = 1,"[-5.51, -5.5, -5.52, -5.53]",-5.5,x = (1-12)/2 = -5.5
1183,Number Theory,Easy,"gcd(94,132)?","[-1, 2, 1, 0]",2,gcd=2
1184,Percentages,Easy,"If 20% of a number is 770, what is the number?","[3080.0, 3850.0, 1540.0, 2310.0]",3850,x = 770/(0.2) = 3850.0
1185,Ratios,Medium,"Ratio 12:19, total=175. Find parts.","['69.74,105.26', '64.74,110.26', '67.74,107.26', '72.74,102.26']","67.74,107.26","Parts=67.74,107.26"
1186,Algebra,Hard,Solve for x: 2x + 5 = 25,"[7.5, 10.0, 5.0, 2.5]",10,x = (25-5)/2 = 10.0
1187,Geometry,Expert,Find area of triangle with base 27 cm and height 29 cm.,"[195.75, 97.88, 391.5, 293.62]",391.5,Area = 0.5*27*29 = 391.5
1188,Number Theory,Expert,Is 14 prime?,"['Yes', 'No']",No,14 is No
1189,Percentages,Medium,"If 20% of a number is 540, what is the number?","[1080.0, 1620.0, 2160.0, 2700.0]",2700,x = 540/(0.2) = 2700.0
1190,Geometry,Expert,Hypotenuse of right triangle with legs 10 cm and 5 cm?,"[6.15, 11.18, 9.5, 7.83]",11.18,c=sqrt(10^2+5^2)=11.18
1191,Algebra,Hard,Solve for x: 2x + 9 = 9,"[-0.02, -0.01, -0.03, 0.0]",0,x = (9-9)/2 = 0.0
1192,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1193,Ratios,Hard,"Ratio 17:18, total=287. Find parts.","['139.4,147.6', '136.4,150.6', '141.4,145.6', '144.4,142.6']","139.4,147.6","Parts=139.4,147.6"
1194,Number Theory,Expert,Is 41 prime?,"['Yes', 'No']",Yes,41 is Yes
1195,Probability,Hard,Urn has 5 red and 7 blue. Prob red?,"['5/12', '5/14', '6/12', '4/12']",05-Dec,"Favorable=5, Total=12"
1196,Algebra,Expert,Solve for x: 8x + 7 = 20,"[1.22, 0.41, 0.81, 1.62]",1.62,x = (20-7)/8 = 1.62
1197,Geometry,Hard,Hypotenuse of right triangle with legs 5 cm and 8 cm?,"[9.43, 8.02, 6.6, 5.19]",9.43,c=sqrt(5^2+8^2)=9.43
1198,Number Theory,Hard,"gcd(169,30)?","[-2, -1, 0, 1]",1,gcd=1
1199,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1200,Probability,Expert,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1201,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
1202,Probability,Easy,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
1203,Algebra,Hard,"Solve the system: 2x+6y=24, 2x+5y=21","['(3,4)', '(2,2)', '(4,3)', '(3,3)']","(3,3)","Solved x=3, y=3"
1204,Percentages,Easy,What is 5% of 2400?,"[90.0, 30.0, 120.0, 60.0]",120,5% = 5/100. So 5/100 × 2400 = 120.0
1205,Ratios,Hard,"Ratio 10:11, total=431. Find parts.","['210.24,220.76', '207.24,223.76', '205.24,225.76', '202.24,228.76']","205.24,225.76","Parts=205.24,225.76"
1206,Ratios,Hard,"Ratio 2:11, total=194. Find parts.","['29.85,164.15', '31.85,162.15', '34.85,159.15', '26.85,167.15']","29.85,164.15","Parts=29.85,164.15"
1207,Number Theory,Easy,"lcm(25,21)?","[524, 522, 525, 523]",525,LCM=525
